2024-09-06 13:06,24572,9178,2213,13181
2024-09-06 13:31,25732,9339,2188,14205
2024-09-06 15:03,31379,11415,2548,17416
2024-09-06 16:22,31602,11179,2470,17953
2024-09-06 17:06,29885,10585,2282,17018
2024-09-07 09:32,25872,9322,2589,13961
2024-09-09 09:01,15318,5981,2685,6652
2024-09-09 11:52,18251,6574,3446,8231
2024-09-20 16:48,75225,51545,22533,1147
2024-09-27 11:45,48945,8494,26196,14255
2024-09-27 12:23,49774,8313,27163,14298
2024-09-27 16:05,62005,9680,34630,17695
2024-10-03 09:51,40759,14660,4748,21351
2024-10-03 10:44,41580,15066,5083,21431
2024-10-03 11:22,41458,15026,5118
2024-10-03 11:30,41624,15199,5182,21243
2024-10-03 11:32,41716,15286,5189,21241
2024-10-03 11:33,41778,15288,5215,21275
2024-10-03 11:38,42088,15395,5344,21349
2024-10-03 11:42,42133,35523,5262,21458
2024-10-03 11:44,42195,35613,5276,1306
2024-10-03 12:24,42457,35690,5439,1328
2024-10-03 13:36,47663,39627,6477,1559
2024-10-03 14:09,50138,41619,6931,1588
2024-10-03 15:11,51519,43037,6984,1498
2024-10-03 15:18,51339,42902,6994,1443
